# Date: 2025-12-31
# Run Type: vt2
# Speed: 5.5 mph
# VT1 Threshold: 86.0 L/min
# VT2 Threshold: 126.0 L/min
# Intervals: 15
# Interval Duration: 3.0 min
# Recovery Duration: 1.0 min
#
timestamp,elapsed_sec,VE,HR,phase,speed
2025-12-31T13:54:29.546579Z,146.040,65,111,warmup,5.5
2025-12-31T13:54:30.786579Z,147.280,77,107,warmup,5.5
2025-12-31T13:54:31.986579Z,148.480,86,112,warmup,5.5
2025-12-31T13:54:33.426579Z,149.920,73,112,warmup,5.5
2025-12-31T13:54:34.866579Z,151.360,66,112,warmup,5.5
2025-12-31T13:54:36.226579Z,152.720,66,116,warmup,5.5
2025-12-31T13:54:37.506579Z,154.000,79,116,warmup,5.5
2025-12-31T13:54:38.826579Z,155.320,70,113,warmup,5.5
2025-12-31T13:54:40.066579Z,156.560,91,111,warmup,5.5
2025-12-31T13:54:41.626579Z,158.120,69,109,warmup,5.5
2025-12-31T13:54:44.146579Z,160.640,44,111,warmup,5.5
2025-12-31T13:54:45.466579Z,161.960,53,112,warmup,5.5
2025-12-31T13:54:46.626579Z,163.120,66,113,warmup,5.5
2025-12-31T13:54:47.706579Z,164.200,128,112,warmup,5.5
2025-12-31T13:54:49.826579Z,166.320,50,114,warmup,5.5
2025-12-31T13:54:51.586579Z,168.080,51,115,warmup,5.5
2025-12-31T13:54:53.026579Z,169.520,50,120,warmup,5.5
2025-12-31T13:54:54.346579Z,170.840,67,121,warmup,5.5
2025-12-31T13:54:55.586579Z,172.080,65,121,warmup,5.5
2025-12-31T13:54:56.946579Z,173.440,102,118,warmup,5.5
2025-12-31T13:54:58.866579Z,175.360,62,117,warmup,5.5
2025-12-31T13:55:00.426579Z,176.920,45,116,warmup,5.5
2025-12-31T13:55:01.746579Z,178.240,64,114,warmup,5.5
2025-12-31T13:55:03.026579Z,179.520,68,113,warmup,5.5
2025-12-31T13:55:04.306579Z,180.800,63,116,warmup,5.5
2025-12-31T13:55:05.546579Z,182.040,63,113,warmup,5.5
2025-12-31T13:55:06.906579Z,183.400,118,113,warmup,5.5
2025-12-31T13:55:08.986579Z,185.480,85,115,warmup,5.5
2025-12-31T13:55:10.386579Z,186.880,57,116,warmup,5.5
2025-12-31T13:55:11.586579Z,188.080,81,115,warmup,5.5
2025-12-31T13:55:12.866579Z,189.360,71,111,warmup,5.5
2025-12-31T13:55:14.186579Z,190.680,71,113,warmup,5.5
2025-12-31T13:55:15.426579Z,191.920,71,112,warmup,5.5
2025-12-31T13:55:16.666579Z,193.160,105,114,warmup,5.5
2025-12-31T13:55:18.306579Z,194.800,55,113,warmup,5.5
2025-12-31T13:55:19.626579Z,196.120,72,113,warmup,5.5
2025-12-31T13:55:20.986579Z,197.480,53,111,warmup,5.5
2025-12-31T13:55:22.146579Z,198.640,88,111,warmup,5.5
2025-12-31T13:55:23.346579Z,199.840,60,111,warmup,5.5
2025-12-31T13:55:24.666579Z,201.160,63,111,warmup,5.5
2025-12-31T13:55:25.946579Z,202.440,66,112,warmup,5.5
2025-12-31T13:55:27.266579Z,203.760,76,113,warmup,5.5
2025-12-31T13:55:28.626579Z,205.120,77,114,warmup,5.5
2025-12-31T13:55:30.066579Z,206.560,72,114,warmup,5.5
2025-12-31T13:55:31.146579Z,207.640,118,113,warmup,5.5
2025-12-31T13:55:32.866579Z,209.360,62,115,warmup,5.5
